Channel Id,Channel Url,Channel Title
UC88lvyJe7aHZmcvzvubDFRg,http://www.youtube.com/channel/UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries
UC8ENHE5xdFSwx71u3fDH5Xw,http://www.youtube.com/channel/UC8ENHE5xdFSwx71u3fDH5Xw,ThePrimeagen
UC8jkbVLPvztz8TuE98OYo8Q,http://www.youtube.com/channel/UC8jkbVLPvztz8TuE98OYo8Q,fpt.
UC8uSLYDanXDnP9Yn8UrTNzQ,http://www.youtube.com/channel/UC8uSLYDanXDnP9Yn8UrTNzQ,Racket
UC9-y-6csu5WGm29I7JiwpnA,http://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile
UC9AdQPUe4BdVJ8M9X7wxHUA,http://www.youtube.com/channel/UC9AdQPUe4BdVJ8M9X7wxHUA,Solana
UC9IuUwwE2xdjQUT_LMLONoA,http://www.youtube.com/channel/UC9IuUwwE2xdjQUT_LMLONoA,The Julia Programming Language
UC9OCtDZfMjJ_2p0qFrVaOFQ,http://www.youtube.com/channel/UC9OCtDZfMjJ_2p0qFrVaOFQ,Nash Made
UC9m7D4XKPJqTPCLSBym3BCg,http://www.youtube.com/channel/UC9m7D4XKPJqTPCLSBym3BCg,Fred Overflow
UC9wzzSSJ37Tl9X9BBMjYGbQ,http://www.youtube.com/channel/UC9wzzSSJ37Tl9X9BBMjYGbQ,Remy Zee
UC9zrrTFKT0wUK7Osbk89jog,http://www.youtube.com/channel/UC9zrrTFKT0wUK7Osbk89jog,The Clojure Clouncil
UCA0H2KIWgWTwpTFjSxp0now,http://www.youtube.com/channel/UCA0H2KIWgWTwpTFjSxp0now,the roadmap
UCA0mlN90EHCizvo101nbr-g,http://www.youtube.com/channel/UCA0mlN90EHCizvo101nbr-g,NileRed 2
UCA7X5unt1JrIiVReQDUbl_A,http://www.youtube.com/channel/UCA7X5unt1JrIiVReQDUbl_A,Path of Exile
UCAD-xOOaUI6N7Uq9laOVbcw,http://www.youtube.com/channel/UCAD-xOOaUI6N7Uq9laOVbcw,Code Therapy w/ René Rebe
UCAiiOTio8Yu69c3XnR7nQBQ,http://www.youtube.com/channel/UCAiiOTio8Yu69c3XnR7nQBQ,System Crafters
UCAl9Ld79qaZxp9JzEOwd3aA,http://www.youtube.com/channel/UCAl9Ld79qaZxp9JzEOwd3aA,Bankless
UCAtkD9j9AWP6D8hNlEx2x2w,http://www.youtube.com/channel/UCAtkD9j9AWP6D8hNlEx2x2w,MetaMoney
UCAzhpt9DmG6PnHXjmJTvRGQ,http://www.youtube.com/channel/UCAzhpt9DmG6PnHXjmJTvRGQ,Federal Reserve
UCB0eHZ29lTQVe5oAAqeQycA,http://www.youtube.com/channel/UCB0eHZ29lTQVe5oAAqeQycA,Weekends TV
UCB5-9DHv6C6WMJOksBocwJQ,http://www.youtube.com/channel/UCB5-9DHv6C6WMJOksBocwJQ,CharlieSloth
UCBa5G_ESCn8Yd4vw5U-gIcg,http://www.youtube.com/channel/UCBa5G_ESCn8Yd4vw5U-gIcg,Stanford Online
UCBcYwAVOcTaZpJ-7PiDotkw,http://www.youtube.com/channel/UCBcYwAVOcTaZpJ-7PiDotkw,BadBwoy Kitchen
UCBj4RFQ0t7npCcHSfrohYOQ,http://www.youtube.com/channel/UCBj4RFQ0t7npCcHSfrohYOQ,PortlandspiceTV
UCC59s1J7c7zreuvnvLUQ0Xg,http://www.youtube.com/channel/UCC59s1J7c7zreuvnvLUQ0Xg,Thrillist
UCC5BT_zvzpi6_fro_QDl81g,http://www.youtube.com/channel/UCC5BT_zvzpi6_fro_QDl81g,Juliet Warner
UCCWeRTgd79JL0ilH0ZywSJA,http://www.youtube.com/channel/UCCWeRTgd79JL0ilH0ZywSJA,AlphaPhoenix
UCCXwA7nW43fxjlnqJxoc8WA,http://www.youtube.com/channel/UCCXwA7nW43fxjlnqJxoc8WA,Prospect Park Deli
UCCaaM9DVZ0oj6-9KjG-71BQ,http://www.youtube.com/channel/UCCaaM9DVZ0oj6-9KjG-71BQ,European Digital Rights
UCCezIgC97PvUuR4_gbFUs5g,http://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer
UCCgGRKeRM1b0LTDqqb4NqjA,http://www.youtube.com/channel/UCCgGRKeRM1b0LTDqqb4NqjA,Ardan Labs
UCCvcd0FYi58LwyTQP9LITpA,http://www.youtube.com/channel/UCCvcd0FYi58LwyTQP9LITpA,Soft White Underbelly
UCDSj3SRisylRP4wpRfxXC_w,http://www.youtube.com/channel/UCDSj3SRisylRP4wpRfxXC_w,Ashkan Sadeghi
UCDT6JRvtVCMGXonJi3j-tpg,http://www.youtube.com/channel/UCDT6JRvtVCMGXonJi3j-tpg,Cheeto Head
UCDsElQQt_gCZ9LgnW-7v-cQ,http://www.youtube.com/channel/UCDsElQQt_gCZ9LgnW-7v-cQ,Kirsten Dirksen
UCEAZeUIeJs0IjQiqTCdVSIg,http://www.youtube.com/channel/UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance
UCEBb1b_L6zDS3xTUrIALZOw,http://www.youtube.com/channel/UCEBb1b_L6zDS3xTUrIALZOw,MIT OpenCourseWare
UCEUFhgRgYZYBXVNCZFGKfMw,http://www.youtube.com/channel/UCEUFhgRgYZYBXVNCZFGKfMw,Pulla bout mines
UCEWpbFLzoYGPfuWUMFPSaoA,http://www.youtube.com/channel/UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor
UCF3jMqkgvFRb6KBbSfsFFtQ,http://www.youtube.com/channel/UCF3jMqkgvFRb6KBbSfsFFtQ,FutureCanoe
UCFQMnBA3CS502aghlcr0_aw,http://www.youtube.com/channel/UCFQMnBA3CS502aghlcr0_aw,Coffeezilla
UCFUpNlUFv965psOGJnpZkhQ,http://www.youtube.com/channel/UCFUpNlUFv965psOGJnpZkhQ,Sober Cast: AA Speaker Meetings - 12-Step Recovery
UCFhXFikryT4aFcLkLw2LBLA,http://www.youtube.com/channel/UCFhXFikryT4aFcLkLw2LBLA,NileRed
UCFsZ2CadKpAt_yInoTcVRnQ,http://www.youtube.com/channel/UCFsZ2CadKpAt_yInoTcVRnQ,Bill Shillito
UCFuLNktnqqBEF_9ZcmjC_bw,http://www.youtube.com/channel/UCFuLNktnqqBEF_9ZcmjC_bw,Vegetable Police
UCFxqzg8jCFkwN-0SkoIK9jA,http://www.youtube.com/channel/UCFxqzg8jCFkwN-0SkoIK9jA,Run The Numbers
UCG3whWNsZ0jfau5KqA3MZQA,http://www.youtube.com/channel/UCG3whWNsZ0jfau5KqA3MZQA,Skint Northerners
UCG4Xp4nghgyWK4ud5Xbo-4g,http://www.youtube.com/channel/UCG4Xp4nghgyWK4ud5Xbo-4g,Ghost Robotics
UCGCndz0n0NHmLHfd64FRjIA,http://www.youtube.com/channel/UCGCndz0n0NHmLHfd64FRjIA,The Launch Pad
UCGGZ_POGmIWG1pQXTDzQv-g,http://www.youtube.com/channel/UCGGZ_POGmIWG1pQXTDzQv-g,Michelle Khare
